MASTER_CONCEPT_ID,MASTER_CONCEPT_NAME,DESCRIPTION,COMPLEXITY_BAND,SKILL_COUNT,AUTHORITY_COUNT,GRADE_RANGE,TAXONOMY_CONFIDENCE,SOR_STRAND,SOR_PILLAR,SOR_DOMAIN,MATHEMATICAL_DOMAIN,COGNITIVE_DEMAND,REPRESENTATION,PREREQUISITE_CONCEPT_ID,EQUIVALENCE_GROUP_ID
MC-MATH-0001,Waypoint,"A place where learners acquire knowledge, familiarity or expertise in mathematics. Each waypoint contains a summary of the mathematical idea (the 'what'), its rationale and role in the wider narrative (the 'why'), and examples of student actions that provide meaningful mathematical experiences. Waypoints are the fundamental nodes in the Mathematical Ideas layer.",all,0,0,K-12,Medium,,,Waypoint,meta-framework,conceptual,network node,,
MC-MATH-0002,Exploratory Waypoint,"A special type of waypoint that often comes at the beginning of a theme, indicating a place where ideas can be played with in a less formal or more playful way as part of building mathematical intuition. These waypoints emphasize informal exploration and sense-making before formalization.",all,0,0,K-12,Medium,,,Exploratory Waypoint,all,conceptual,exploratory/playful,,
MC-MATH-0003,Landmark Waypoint,A special type of waypoint where ideas are brought together such that the whole experience may seem greater than the sum of its parts. These represent significant conceptual milestones where multiple themes and ideas converge into a more powerful mathematical understanding.,all,0,0,K-12,Medium,,,Landmark Waypoint,all,conceptual,synthesis,MC-MATH-0001,
MC-MATH-0004,Theme (Development of),"A directed edge connecting waypoints that represents the development or progression of a mathematical concept, skill, or procedure. The arrow points from an earlier waypoint to one that is further along in the sequence of development. These themes track how mathematical ideas build upon each other.",all,0,0,K-12,Medium,,,Theme (Development of),all,conceptual,directed edge,,
MC-MATH-0005,Theme (Use of),"An undirected edge connecting waypoints that represents the application or use of a mathematical concept, skill, or procedure. Unlike 'Development of' themes, these do not imply a developmental sequence but rather show where a mathematical idea is applied or connected to other ideas.",all,0,0,K-12,Medium,,,Theme (Use of),all,application,undirected edge,,
MC-MATH-0006,Performing (Student Action),A category of student actions focused on procedural fluency through memorization and rehearsal. Students engage in practice to develop automaticity with mathematical procedures and recall of mathematical facts.,all,0,0,K-12,Medium,,,Performing (Student Action),all,procedural,practice-based,,
MC-MATH-0007,Classifying (Student Action),"A category of student actions focused on conceptual understanding through sorting, classifying, defining and deducing. Students engage in organizing mathematical objects and ideas to understand their properties and relationships.",all,0,0,K-12,Medium,,,Classifying (Student Action),all,conceptual,categorical,,
MC-MATH-0008,Representing (Student Action),"A category of student actions focused on conceptual understanding through describing, interpreting and translating between different mathematical representations. Students work with multiple representations to deepen understanding.",all,0,0,K-12,Medium,,,Representing (Student Action),all,conceptual,multi-modal,,
MC-MATH-0009,Analysing (Student Action),"A category of student actions focused on conceptual understanding through exploring structure, variation, and connections in mathematics. Students investigate patterns, relationships, and mathematical structure.",all,0,0,K-12,Medium,,,Analysing (Student Action),all,conceptual,structural,,
MC-MATH-0010,Arguing (Student Action),"A category of student actions focused on conceptual understanding through testing, justifying and proving conjectures. Students engage in mathematical reasoning and argumentation to validate mathematical claims.",all,0,0,K-12,Medium,,,Arguing (Student Action),all,conceptual,argumentative,MC-MATH-0001,
