STANDARD_SET_ID_VERSION,DOMAIN_GROUP_ID_VERSION,DOMAIN_GROUP_ID,DOMAIN_GROUP_NAME,DOMAIN_GROUP_DISPLAY_ORDER,DOMAIN_GROUP_STATUS,DOMAIN_GROUP_NOTES,DOMAIN_GROUP_CREATION_RATIONALE,LAST_CHANGE_TYPE,LAST_CHANGE_BATCH
010a4227-380a-564b-9e48-1ccf47d5ee59-1-0,2c32e984-cd0e-5c5d-88bf-9a84c33d4965-1-0,2c32e984-cd0e-5c5d-88bf-9a84c33d4965,Foundational Skills,1,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-0,6f12756e-13d3-586c-93df-2460735b7161-1-0,6f12756e-13d3-586c-93df-2460735b7161,Reading Informational Text,2,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-0,2dc39465-5b36-5f07-a6e7-840468c4889b-1-0,2dc39465-5b36-5f07-a6e7-840468c4889b,Reading Literature,3,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-1,2c32e984-cd0e-5c5d-88bf-9a84c33d4965-1-1,2c32e984-cd0e-5c5d-88bf-9a84c33d4965,Foundational Skills,1,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-1,6f12756e-13d3-586c-93df-2460735b7161-1-1,6f12756e-13d3-586c-93df-2460735b7161,Reading Informational Text,2,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-1,2dc39465-5b36-5f07-a6e7-840468c4889b-1-1,2dc39465-5b36-5f07-a6e7-840468c4889b,Reading Literature,3,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-10,2c32e984-cd0e-5c5d-88bf-9a84c33d4965-1-10,2c32e984-cd0e-5c5d-88bf-9a84c33d4965,Foundational Skills,1,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-10,6f12756e-13d3-586c-93df-2460735b7161-1-10,6f12756e-13d3-586c-93df-2460735b7161,Informational Text,2,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-10,2dc39465-5b36-5f07-a6e7-840468c4889b-1-10,2dc39465-5b36-5f07-a6e7-840468c4889b,Literature,3,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-11,2c32e984-cd0e-5c5d-88bf-9a84c33d4965-1-11,2c32e984-cd0e-5c5d-88bf-9a84c33d4965,Foundational Skills,1,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-11,6f12756e-13d3-586c-93df-2460735b7161-1-11,6f12756e-13d3-586c-93df-2460735b7161,Informational Text,2,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-11,2dc39465-5b36-5f07-a6e7-840468c4889b-1-11,2dc39465-5b36-5f07-a6e7-840468c4889b,Literature,3,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-12,2c32e984-cd0e-5c5d-88bf-9a84c33d4965-1-12,2c32e984-cd0e-5c5d-88bf-9a84c33d4965,Foundational Skills,1,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-12,6f12756e-13d3-586c-93df-2460735b7161-1-12,6f12756e-13d3-586c-93df-2460735b7161,Informational Text,2,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-12,2dc39465-5b36-5f07-a6e7-840468c4889b-1-12,2dc39465-5b36-5f07-a6e7-840468c4889b,Literature,3,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-12,92c73045-08e8-4361-95c1-b4e3708f404b-1-12,92c73045-08e8-4361-95c1-b4e3708f404b,Speaking and Listening,5,,,,addition,STANDARDCHANGE_ELA_20250630_01_01
010a4227-380a-564b-9e48-1ccf47d5ee59-1-12,19a8eb86-1f05-4578-b70f-97812e043215-1-12,19a8eb86-1f05-4578-b70f-97812e043215,Writing,4,,,,addition,STANDARDCHANGE_ELA_20250630_01_01
010a4227-380a-564b-9e48-1ccf47d5ee59-1-2,2c32e984-cd0e-5c5d-88bf-9a84c33d4965-1-2,2c32e984-cd0e-5c5d-88bf-9a84c33d4965,Foundational Skills,1,Released,,,initial,STANDARDBASE_20240701
010a4227-380a-564b-9e48-1ccf47d5ee59-1-2,6f12756e-13d3-586c-93df-2460735b7161-1-2,6f12756e-13d3-586c-93df-2460735b7161,Reading Informational Text,2,Released,,,initial,STANDARDBASE_20240701
