CONTENT_AREA_SHORT_NAME,SKILL_AREA_NAME,GRADE_LEVEL_SHORT_NAME,SKILL_ID,SKILL_NAME,PEDAGOGICAL_LIMITS
ELA,Character and Plot,7,806de533-b3b6-4c8f-a55b-a8f9817beb51,"Explain how different types of characters in a story (e.g., static, dynamic, protagonist, antagonist) influence the plot","Also consider: Analyze how characters' actions, thoughts, motivations, and relationships shape the plot
Analyze internal and external character responses and how these affect the plot (Flag to improve this note)"
ELA,Narrative Writing,1,19547681-0298-46e0-b2cd-de36e2e733b6,"Compose a narrative appropriate to task, audience, and purpose in response to a prompt based on first-grade reading",This is more of a cumulative skill assessing general reader response to a text. The reading material can be any genre: the resulting writing is specified by writing type. Users should use more specific related skills if the standard and/or content warrants it.
ELA,Narrative Writing,2,26f97b52-25d6-4c94-8eaa-f1c56346c628,"Compose a narrative appropriate to task, audience, and purpose in response to a prompt based on second-grade reading",This is more of a cumulative skill assessing general reader response to a text. The reading material can be any genre: the resulting writing is specified by writing type. Users should use more specific related skills if the standard and/or content warrants it.
ELA,Narrative Writing,7,863dc4aa-5ab1-4972-88db-dcb4666bacd7,"Compose a narrative appropriate to task, audience, and purpose in response to a prompt based on seventh-grade reading",This is more of a cumulative skill assessing general reader response to a text. The reading material can be any genre: the resulting writing is specified by writing type. Users should use more specific related skills if the standard and/or content warrants it.
ELA,Narrative Writing,7,ec694b5e-0d21-4b67-a92b-54a14d8ae87e,Establish and maintain a consistent narrative perspective in seventh-grade narrative writing,"Definition: This skill is an extension beyond the introduction of a narrator and involves consistently maintaining a specific viewpoint throughout the narrative. It includes the narrator's perspective, voice, and how they convey the story.
Focus: The emphasis is on the consistency and depth of the narrative viewpoint, ensuring that the reader can clearly understand and follow the narrator's perspective."
ELA,Narrative Writing,8,297fe757-9096-431a-aa5a-6f31b0d532ad,"Compose a narrative appropriate to task, audience, and purpose in response to a prompt based on eighth-grade reading",This is more of a cumulative skill assessing general reader response to a text. The reading material can be any genre: the resulting writing is specified by writing type. Users should use more specific related skills if the standard and/or content warrants it.
ELA,Narrative Writing,8,ce60c209-67eb-4741-8849-831a9573b70a,"Use character reflection, such as internal dialogue and introspection, to develop experiences, events, and/or characters in eighth-grade narrative writing","The reflection should primarily be from the characters within the narrative. This can include their thoughts, feelings, and internal dialogue."
ELA,Narrative Writing,8,e4f69ba5-9d42-404d-8a6c-0aa17f7594b9,Establish and maintain a consistent narrative perspective in eighth-grade narrative writing,"Definition: This skill is an extension beyond the introduction of a narrator and involves consistently maintaining a specific viewpoint throughout the narrative. It includes the narrator's perspective, voice, and how they convey the story.
Focus: The emphasis is on the consistency and depth of the narrative viewpoint, ensuring that the reader can clearly understand and follow the narrator's perspective."
ELA,Phonemes,1,3f9acf75-d2c8-40cc-9180-96ed33e36fca,"Isolate sounds in grade-appropriate words with four to five phonemes (e.g., baby, river, seven)","See also ""Isolate each sound in grade-appropriate words."" This is written for a VA gr 1 standard that calls out 4-5 phonemes but does not give other guidance for what grade-appropriate words might be. The gr 2 VA standard has identical wording."
ELA,Phonemes,1,8fba8dde-cac2-45fe-aeaf-70fbc6bf3d93,Decode one-syllable nonsense words with a variety of common spelling patterns,"This skill has students decoding one-syllable nonsense words that include common spelling patterns like VC, CV, CVC, CVCe, VCC, CCVC, CVCC, CVVC, and CCVCC (e.g. ip, tep, zote, ust, blap, fesp, frint). Compare to second grade version, ""decode multisyllabic nonsense words"""
