Strand,Pillar,Domain,Skill Area,Skill Set,Skill Subset,Skill Subset Annotation
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Cognitive Flexibility,Contextual Strategy Selection,,"Examples: Match Strategies to Text Demands — The ability to match and switch strategies (decoding, prediction, summarizing) to the demands of the text.; Match Strategy to Text Feature — The ability to match strategies to specific text features.; Switch on Comprehension Signals — The ability to switch strategies based on comprehension signals."
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Cognitive Flexibility,Set Shifting Across Tasks,,"Examples: Shift Between Rules and Criteria — The ability to shift between rules/criteria as task demands change (e.g., genre vs. purpose).; Alternate Rule Sets Efficiently — The ability to alternate between rule sets efficiently without loss.; Recover from Shift Costs — The ability to minimize performance drop during/after shifts."
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Cognitive Flexibility,Strategy Shifting,,"Examples: Switching Strategies Based on Task Demands — The ability to shift between strategies (e.g., decoding vs. context use) and task sets as demands change.; Shift Between Decoding and Contextual Inference — The ability to alternate focus between phonics-based decoding and contextual inference as text demands change.; Adjust Strategy by Genre and Purpose — The ability to adjust strategy selection based on genre conventions and reading purpose (study vs. skim)."
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Emotion Regulation,Emotion Regulation Strategies,,Examples: Breathing and Cognitive Reappraisal — The ability to apply breathing and cognitive reappraisal to regulate affect during challenging reading.; Breathing Protocols for Reading — The ability to apply brief breathing protocols to regulate arousal.; Cognitive Reappraisal Script — The ability to apply a personal reappraisal script during difficulty.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Emotion Regulation,Managing Reading-related Frustration,,Examples: Regulating Emotions to Sustain Engagement — The ability to manage frustration/anxiety to persist through challenging texts.; Use Cognitive Reappraisal During Difficulty — The ability to reinterpret difficulty as growth to reduce frustration.; Apply Brief Reset Routines — The ability to use brief breathing/movement resets to restore engagement.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Emotion Regulation,Persistence Strategies,,Examples: Use Positive Self-talk and Goal Reminders — The ability to use positive self-talk and goal reminders to persist through difficulty.; Positive Self‑talk Prompts — The ability to use scripted prompts to persist.; Goal Reminder Cues — The ability to use reminders (visual/verbal) to maintain effort.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Inhibitory Control,Delay and Self-control,,"Examples: Delay Prepotent Responses — The ability to delay prepotent responses (e.g., checking phone) to maintain task goals.; Delay Discounting Control — The ability to resist preference for immediate distractions.; Implement Delay Timers — The ability to use timers to enforce short delays before breaks."
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Inhibitory Control,Distraction Resistance,,Examples: Suppressing Irrelevant Responses — The ability to inhibit impulses and resist distractors while reading to maintain task goals.; Ignore Irrelevant Stimuli — The ability to suppress attention capture from irrelevant sounds and visuals.; Suspend Impulsive Checking — The ability to delay checking devices or unrelated resources until task checkpoints.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Inhibitory Control,Selective Attention Control,,Examples: Filter Irrelevant Stimuli — The ability to filter irrelevant stimuli and maintain task focus amidst competing inputs.; Filter Visual Distractors — The ability to filter visual distractors while scanning lines.; Filter Auditory Distractors — The ability to filter auditory distractors while reading.
Active Self-Regulation,Executive Function Skills,Core Executive Processes,Planning and Organization,Prioritization and Sequencing,,Examples: Prioritize and Sequence Tasks — The ability to prioritize reading tasks and sequence steps to meet deadlines.; Order Tasks by Importance/Deadline — The ability to order tasks by priority and deadline.; Sequence Steps Logically — The ability to sequence steps to reduce context switching.
