SKILL_ID,SKILL_NAME,SKILL_AREA_NAME,CONTENT_AREA_NAME,GRADE_LEVEL_NAME,GRADE_LEVEL_SHORT_NAME,TAXONOMY_PATH,CONFIDENCE,SEMANTIC_SIMILARITY,NEEDS_REVIEW,ALTERNATIVE_1,ALTERNATIVE_2,RATIONALE,strand,pillar,domain,skill_area,skill_area,skill_subset
2e1c483a-f6b6-46fa-8e57-e6f8226ab4c4,"With support, identify some of the sounds of letters",Alphabetic Knowledge,English Language Arts,Pre-K,PK,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabetic Principle > Understanding Alphabetic Principle > Print–Speech Mapping Concept,High,0.6470546722412109,False,Word Recognition > Phonics & Decoding > Phonics Knowledge > Consonant Sounds > Single Consonants > Decoding Single Consonant Sounds,Word Recognition > Phonics & Decoding > Phonics Knowledge > Letter-sound Correspondence,"Direct match for Pre-K skill of identifying letter sounds with support, as this node represents the foundational understanding that letters represent sounds in spoken language, which is exactly what this skill targets at the earliest developmental stage.",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Alphabetic Principle,Understanding Alphabetic Principle
e3c494a0-1f1f-40f9-b8f0-da84e8da8898,Identify some letters in printed words,Alphabetic Knowledge,English Language Arts,Pre-K,PK,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,High,0.5967708826065063,False,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Word Recognition > Identifying individual words > Differentiating Between Word Units and Letters,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Sentence Features > Capitalization > Recognizing Lowercase Letters,"Direct match for identifying letters in print at Pre-K level. This node specifically addresses the ability to identify and name letters, which is the core objective of recognizing ""some letters in printed words.""",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Alphabet Knowledge,Letter Names and Case Mapping
a30ff61e-e69f-e311-9503-005056801da1,Recognize the sounds of letters in lower- and uppercase form,Alphabetic Knowledge,English Language Arts,Kindergarten,K,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabetic Principle > Understanding Alphabetic Principle > Print–Speech Mapping Concept,High,0.6340381503105164,False,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Word Recognition > Phonics & Decoding > Phonics Knowledge > Letter-sound Correspondence > Consonants and Digraphs/Trigraphs > Consonants and Digraphs/Trigraphs,"This is the core objective—recognizing that letters (both cases) represent sounds, which is the foundational alphabetic principle. Grade-appropriate for Kindergarten and captures the letter-sound connection emphasis.",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Alphabetic Principle,Understanding Alphabetic Principle
c795f9d2-a849-4531-ab5b-bd558bb125de,"Know the order of the alphabet (e.g., identify letters that come before or after another letter)",Alphabetic Knowledge,English Language Arts,Kindergarten,K,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Medium,0.5267813801765442,False,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Linear Progression > Reading Direction > Understanding Reading Words from Left to Right,"While this candidate focuses on letter identification/naming, knowing alphabetical order is a related but distinct alphabet knowledge skill. The granularity level is appropriate for the specific kindergarten skill, though the semantic match isn't perfect as it doesn't explicitly address sequential ordering.",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Alphabet Knowledge,Letter Names and Case Mapping
23263971-e482-43ba-8882-fa8db08a07c0,"Write the letters of the alphabet including most upper- and lowercase letters (e.g., write first and last name)",Alphabetic Knowledge,English Language Arts,Kindergarten,K,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Letter Formation > Form Letters > Accurate Letter Formation,High,0.5369372963905334,False,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Language Expression > Writing > Transcription Fluency > Handwriting Fluency > Produce Legible Script > Handwriting Fluency,Direct match for the productive skill of writing alphabet letters. This is the most specific node addressing letter formation/writing as opposed to recognition or identification.,Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Letter Formation,Form Letters
9e0ff61e-e69f-e311-9503-005056801da1,"Distinguish between the shapes of upper- and lowercase letters (e.g., pick the letter that is different in <i>S</i>, <i>S</i>, <i>C</i>; pick the letter that is different in <i>E</i>, <i>f</i>, <i>f</i>)",Alphabetic Knowledge,English Language Arts,Kindergarten,K,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Sentence Features > Capitalization > Differentiating Upper and Lower Case,High,0.7157685160636902,False,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Sentence Features > Capitalization > Recognizing Lowercase Letters,"Direct match for distinguishing between uppercase and lowercase letter shapes, which is the core objective of the ROCK skill at the appropriate fine-grained level for Kindergarten.",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Sentence Features,Capitalization
0c0ed03d-350f-4466-a034-74dc40a78e16,Identify and match sounds to individual letters,Alphabetic Knowledge,English Language Arts,Grade 1,1,Word Recognition > Phonics & Decoding > Phonics Knowledge > Letter-sound Correspondence,High,0.0,True,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabetic Principle > Understanding Alphabetic Principle > Print–Speech Mapping Concept,Word Recognition > Phonics & Decoding > Phonics Knowledge > Consonant Sounds > Single Consonants > Decoding Single Consonant Sounds,"Direct match for the core objective of matching sounds to individual letters, which is the foundational letter-sound correspondence skill. This granularity captures the broad skill without forcing specificity to consonants or vowels alone.",Word Recognition,Phonics & Decoding,Phonics Knowledge,Alphabetic Knowledge,Letter-sound Correspondence,
6641afac-babe-4fbc-8c59-f634102ce3de,Recognize all of the letters of the alphabet in order,Alphabetic Knowledge,English Language Arts,Pre-K,PK,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,High,0.5133655667304993,False,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabetic Principle > Understanding Alphabetic Principle > Print–Speech Mapping Concept,"Direct match for recognizing and identifying letters, which is the core objective of this skill. The ""in order"" component is a specific pedagogical approach to letter recognition, but the underlying skill is letter identification at the Pre-K level.",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Alphabet Knowledge,Letter Names and Case Mapping
9b0ff61e-e69f-e311-9503-005056801da1,"Distinguish letters from numbers (e.g., select <i>J</i> from choices <i>J</i>, <i>8</i>, <i>7</i>)",Alphabetic Knowledge,English Language Arts,Pre-K,PK,"Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Word Recognition > Differentiating between words, spaces, and punctuation marks > Understanding the Difference Between Symbols (Alphabetic Letters, Numerals, Punctuation)",High,0.5816922783851624,False,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,"Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Word Recognition > Differentiating between words, spaces, and punctuation marks > Differentiating Between Textual and Graphical Elements","This is a direct match for distinguishing letters from numbers at the appropriate granular level. The skill explicitly addresses discriminating between alphabetic letters and numerals, which is exactly what the ROCK skill targets at the Pre-K level.",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Word Recognition,"Differentiating between words, spaces, and punctuation marks"
e4e73b78-9bce-4c17-ba54-88bf3fcc822a,Write all uppercase letters of the English alphabet,Alphabetic Knowledge,English Language Arts,Kindergarten,K,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Letter Formation > Form Letters > Accurate Letter Formation,High,0.4986838102340698,True,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Sentence Features > Capitalization > Recognizing Uppercase Letters,"Direct match for the productive skill of writing/forming uppercase letters, which is distinct from receptive letter recognition skills. This is the appropriate granularity for the specific motor and orthographic task of letter production.",Word Recognition,Foundations,Print Concepts & Alphabet Knowledge,Alphabetic Knowledge,Letter Formation,Form Letters
