SKILL_ID,SKILL_NAME,MASTER_CONCEPT_ID,MASTER_CONCEPT_NAME,EQUIVALENCE_TYPE,TAXONOMY_PATH,CONFIDENCE
2e1c483a-f6b6-46fa-8e57-e6f8226ab4c4,"With support, identify some of the sounds of letters",,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabetic Principle > Understanding Alphabetic Principle > Print–Speech Mapping Concept,High
e3c494a0-1f1f-40f9-b8f0-da84e8da8898,Identify some letters in printed words,,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,High
a30ff61e-e69f-e311-9503-005056801da1,Recognize the sounds of letters in lower- and uppercase form,,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabetic Principle > Understanding Alphabetic Principle > Print–Speech Mapping Concept,High
c795f9d2-a849-4531-ab5b-bd558bb125de,"Know the order of the alphabet (e.g., identify letters that come before or after another letter)",,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,Medium
23263971-e482-43ba-8882-fa8db08a07c0,"Write the letters of the alphabet including most upper- and lowercase letters (e.g., write first and last name)",,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Letter Formation > Form Letters > Accurate Letter Formation,High
9e0ff61e-e69f-e311-9503-005056801da1,"Distinguish between the shapes of upper- and lowercase letters (e.g., pick the letter that is different in <i>S</i>, <i>S</i>, <i>C</i>; pick the letter that is different in <i>E</i>, <i>f</i>, <i>f</i>)",MC-SA-0038,Word Recognition,grade-progression,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Sentence Features > Capitalization > Differentiating Upper and Lower Case,High
0c0ed03d-350f-4466-a034-74dc40a78e16,Identify and match sounds to individual letters,,,unique,Word Recognition > Phonics & Decoding > Phonics Knowledge > Letter-sound Correspondence,High
6641afac-babe-4fbc-8c59-f634102ce3de,Recognize all of the letters of the alphabet in order,,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Alphabet Knowledge > Letter Names and Case Mapping > Identify and Name Letters,High
9b0ff61e-e69f-e311-9503-005056801da1,"Distinguish letters from numbers (e.g., select <i>J</i> from choices <i>J</i>, <i>8</i>, <i>7</i>)",,,unique,"Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Word Recognition > Differentiating between words, spaces, and punctuation marks > Understanding the Difference Between Symbols (Alphabetic Letters, Numerals, Punctuation)",High
e4e73b78-9bce-4c17-ba54-88bf3fcc822a,Write all uppercase letters of the English alphabet,,,unique,Word Recognition > Foundations > Print Concepts & Alphabet Knowledge > Letter Formation > Form Letters > Accurate Letter Formation,High
