SKILL_ID,SKILL_NAME,NORMALIZED_NAME,CONTENT_AREA_NAME,GRADE_LEVEL_NAME,GRADE_NUM,SKILL_AREA_NAME,EQUIVALENCE_TYPE,EQUIVALENCE_GROUP_ID,PREREQUISITE_SKILL_IDS,COMPLEXITY_LEVEL,AUTHORITIES
de17cff7-4a33-40aa-a590-cd36cfbc7246,"Analyze an informational text's cultural, historical, and contemporary context in order to draw and revise conclusions about the purpose and significance of a text","an informational text's cultural, historical, and contemporary context in order to draw and revise conclusions about the purpose and significance of a text",English Language Arts,Grade 11,11.0,Author's Purpose and Perspective,grade-progression,01801b3e-5dc3-4949-b586-44a1df29b36a,,1,AB|AL|AR|CO|GA|MO|ND|NJ|OK|PDLTEK|REN|SD|TX|UT|WI
8ae5bdfd-2c9c-4b30-a7d9-8b352d99ee0f,"Analyze an informational text's cultural, historical, and contemporary context in order to revise conclusions and extend interpretations of its purpose and significance","an informational text's cultural, historical, and contemporary context in order to revise conclusions and extend interpretations of its purpose and significance",English Language Arts,Grade 12,12.0,Author's Purpose and Perspective,grade-progression,01801b3e-5dc3-4949-b586-44a1df29b36a,de17cff7-4a33-40aa-a590-cd36cfbc7246,2,AB|AL|AR|GA|MN|ND|NJ|OK|PDLTEK|REN|SD|TX|UT|WI
ea714930-b3ea-4f90-9c70-d8ef6a28497c,"Analyze the cultural or social function of a literary text (e.g., the contribution of <i>To Kill a Mockingbird</i> to changing sentiments regarding racial equality and justice)",the cultural or social function of a literary text,English Language Arts,Grade 9,9.0,Author's Purpose and Perspective,grade-progression,03c1e1d6-2554-4530-acb9-790e484bd39b,,1,AB|CO|ENC|GA|ND|NE|NM|OK|PDLNMC|SD|UT|VA
12259cb9-1ca7-4491-ba45-4ba66ac11eae,"Analyze the cultural or social function and impact of a literary text (e.g., the role of <i>Animal Farm</i> in influencing Western opinions of communism at the beginning of the Cold War)",the cultural or social function and impact of a literary text,English Language Arts,Grade 10,10.0,Author's Purpose and Perspective,grade-progression,03c1e1d6-2554-4530-acb9-790e484bd39b,ea714930-b3ea-4f90-9c70-d8ef6a28497c,2,AB|CO|ENC|GA|ND|NE|NM|OK|PDLNMC|SC|SD|UT|VA
c8bd323b-bc82-4627-8686-1b89d537e76f,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on first-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on first-grade reading",English Language Arts,Grade 1,1.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,,1,AL|AR|AZ|CA|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WI|WV
91a8a8ce-3505-4448-aad0-7826ae8ce914,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on second-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on second-grade reading",English Language Arts,Grade 2,2.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,c8bd323b-bc82-4627-8686-1b89d537e76f,2,AL|AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MS|NC|ND|NE|NJ|NY|OH|OK|PA|SC|TN|TX|UT|VA|WI|WV
2649dd44-e901-4481-b77a-474b35c68926,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on third-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on third-grade reading",English Language Arts,Grade 3,3.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,91a8a8ce-3505-4448-aad0-7826ae8ce914,3,AL|AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WI|WV
87551f13-04f5-489d-9300-896d34becabe,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on fourth-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on fourth-grade reading",English Language Arts,Grade 4,4.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,2649dd44-e901-4481-b77a-474b35c68926,4,AL|AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WI|WV
a34fb29e-6a22-403d-8a7c-1581cf3cd92e,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on fifth-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on fifth-grade reading",English Language Arts,Grade 5,5.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,87551f13-04f5-489d-9300-896d34becabe,5,AL|AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WI|WV
7daf5e82-46d1-44bf-8d6b-fc5fb56e7eb2,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on sixth-grade reading","compose an informative text appropriate to task, audience, and purpose in response to a prompt based on sixth-grade reading",English Language Arts,Grade 6,6.0,Informative Writing,grade-progression,0587d9b6-6b48-4a19-9b4a-def8f12c36f9,a34fb29e-6a22-403d-8a7c-1581cf3cd92e,6,AL|AR|AZ|CA|CCSS|CO|FL|GA|HI|IA|ID|IN|KS|KY|LA|MA|MN|MO|MS|NC|ND|NE|NJ|NY|OH|OK|OR|PA|SC|TN|TX|UT|VA|WI|WV
