GROUP_ID,TYPE,MEMBER_COUNT,EXAMPLE_SKILL,CONTENT_AREA,GRADE_RANGE,AUTHORITIES
00418ac5-6e52-41bc-abec-1e9acdfc94f0,state-variant,2,"Analyze archetypes and motifs in literary works and how authors may draw on themes from influential works and stories of the past (e.g., superhero films based on the powers of gods in diverse mythologies)",English Language Arts,10-10,2
01d67cae-490e-49f7-9c59-9f9546ea0efb,state-variant,2,"Spell multisyllabic words with open syllable patterns (e.g., before)",English Language Arts,2-3,2
02c7c2af-ae6d-4a6a-9ca8-a7b86898e486,state-variant,2,"Identify initial consonant sounds with the letters that represent them (e.g., Select the word that begins with the sound /p/, <i>papa</i>; select the first letter you hear in <i>mono</i>, ""m"")",English Language Arts,0-0,2
039c7562-4479-49e4-9016-e59c2763fa54,state-variant,2,"Identify and use homophones (e.g., know/no, hear/here) and homographs/multiple-meaning words (e.g., point, safe) and determine their meanings in grade-appropriate texts using sentence context or prior knowledge of spellings",English Language Arts,2-3,2
0436e769-cb71-4f94-b904-ff753958fad4,state-variant,2,"With prompting and support, begin to anticipate some events in a story, using pictures (e.g., ""Yes, it does look like he might slip in that puddle."")",English Language Arts,-1--1,2
04535992-5587-42d5-b5a9-1d2a7ac5ffa6,state-variant,2,"Identify purpose for reading (e.g., for enjoyment, to answer a question, to learn about a subject, to solve a problem) and comprehend on-level texts demonstrated in a variety of ways (e.g., writing in a reading response journal, writing an answer to the question, discussing/writing about the solution)",English Language Arts,4-5,1
04a9d104-95f9-420b-9b72-15f758e49314,state-variant,2,"Expand recognition of words and phrases (e.g., así como, por otro lado) that indicate a comparison",English Language Arts,4-4,2
0673ef4f-9948-4b9e-bdf2-50e9fd8a9f38,state-variant,3,"Accurately read unfamiliar grade-appropriate multisyllabic words in isolation using knowledge of all letter-sound correspondences (e.g., septiembre, longitud)",English Language Arts,4-5,3
0863d282-0ea2-47e3-a9fb-67c4666aa0cb,state-variant,2,"Decode grade-appropriate possessive nouns in text and in isolation (e.g., wagon's, children's, boys')",English Language Arts,1-2,2
0992a8bf-4f99-498b-93f6-d9a2a72f8b99,state-variant,2,"Understand the meanings of idioms (e.g., come out in the wash) in grade-appropriate prose and poetry and analyze an author's use of idiomatic expressions",English Language Arts,10-11,2
0a8238fa-9335-40a8-bd70-e6ace3b279a7,state-variant,2,Read a pictograph (1 symbol = 1 object),Mathematics,1-2,2
0c069655-76b8-4c19-b0bb-25a5203171a9,state-variant,2,"Expand knowledge of general academic and content-area vocabulary independently and apply this knowledge correctly when reading, writing, speaking, and listening (e.g., encountering the word <i>faction</i> in <i>The Federalist Papers</i>)",English Language Arts,11-12,1
0d1c7643-6f73-49ea-83d4-8f1eaa728f2c,state-variant,2,"Recognize and understand grade-appropriate contractions (e.g., I'm, isn't)",English Language Arts,1-1,2
0d818728-83d3-49df-84ba-247e7503b13e,state-variant,2,"Identify initial and final phonemes in spoken words (e.g., <i>heart</i> has the same beginning sound as <i>head</i>; <i>boot</i> has a different ending sound than <i>bean</i>)",English Language Arts,0-0,2
17a5fe7e-58da-4f04-8c7f-7f9651475ba8,state-variant,2,"Spell grade-appropriate multisyllabic words with multiple sound-spelling patterns (e.g., behave, unlock, number)",English Language Arts,2-3,2
1a882d98-8b88-4e1e-8621-d7d7abfa41a1,state-variant,2,"Identify and understand synonyms for grade-appropriate (grade level 0-3) and high-frequency words (e.g., ask/question, ill/sick)",English Language Arts,3-3,2
1a89cd06-f1af-4970-9fd2-816dc6dd567b,state-variant,2,"Know the order of the alphabet (e.g., identify letters that come before or after another letter)",English Language Arts,0-0,2
1bc87439-b921-4ac4-aa7f-8a63acac8ada,state-variant,2,"Use knowledge of grade-appropriate roots (e.g., surg-, surr-), affixes (e.g., de-, -ability), cognates (e.g., Latin and Greek, Anglo-Saxon, and Semitic sources), and patterns of how words are formed in order to predict the meaning of unfamiliar vocabulary (e.g., insurgent, debility)",English Language Arts,11-11,2
1bcb4bc8-4367-4a41-8ad2-54e9b26ee00d,state-variant,2,"Recognize, identify, and produce groups of words that begin with the same initial sound (i.e., alliterative words, tongue twisters)",English Language Arts,0-0,2
