SKILL_ID,SKILL_NAME,text_type,text_mode,text_genre,skill_domain,task_complexity,cognitive_demand,extraction_confidence,extraction_notes,extracted_timestamp
37417eb3-d9a7-4354-9c83-2982cb6b6611,"Compare texts published in different time periods to analyze how their historical contexts have influenced their meaning, content, or style ",mixed,not_applicable,not_applicable,reading,advanced,analysis,high,"Skill requires comparing texts across time periods and analyzing historical context's influence on meaning, content, and style. Mixed text_type because skill applies to any texts (fictional or informational). Genre is not_applicable as skill transcends specific genres. Task_complexity is advanced due to multi-text comparison and contextual analysis requirements. Cognitive_demand is analysis per Bloom's taxonomy as students must break down and examine relationships between historical context and textual elements.",2025-10-16T10:16:18.850065
493dc225-3800-e411-9e54-005056801da1,"Analyze elements (e.g., plot, character, setting, theme) in a variety of related literary texts (e.g., texts from the same time period, texts based on a similar theme)",fictional,prose,literary,reading,advanced,analysis,high,"Skill explicitly focuses on analyzing literary elements (plot, character, setting, theme) across multiple related texts, requiring comparative analysis of literary works. The requirement to compare texts from same time period or similar themes elevates complexity to advanced level.",2025-10-16T10:16:23.786577
585f73bc-70bc-4955-9c9c-f59ade0ae2b3,Analyze informational texts on topics related to diverse cultures and viewpoints,informational,prose,expository,reading,intermediate,analysis,high,Skill explicitly focuses on analyzing informational texts about diverse cultures/viewpoints. Analysis is the primary cognitive demand per Bloom's taxonomy. Task complexity is intermediate as it requires analytical thinking beyond basic comprehension but doesn't require synthesis or evaluation of multiple sources.,2025-10-16T10:16:27.732942
5b545e2e-d08f-441b-9d9c-589006f39948,"Analyze how works of literature from various cultures reflect and are influenced by authors' culture and perspective, and evaluate the impact of these works in a larger context, citing evidence",fictional,mixed,literary,reading,advanced,evaluation,high,"Skill focuses on analyzing and evaluating literature from various cultures, requiring students to understand cultural influences and assess broader impact with evidence. The evaluation component and requirement to assess impact in larger context places this at the highest cognitive level. Mixed text_mode because 'works of literature' encompasses both prose and poetry.",2025-10-16T10:16:33.471347
aea86f5f-3490-4f5b-bcd3-7beadd4c5cd3,"Analyze and evaluate the aesthetic and ethical statements of literary texts, making connections to other texts and to historical and cultural context",fictional,mixed,literary,reading,advanced,evaluation,high,"Skill focuses on analyzing and evaluating aesthetic and ethical dimensions of literary texts, requiring high-level critical thinking. Involves making connections across texts and contexts, which is characteristic of advanced literary analysis. Text mode is 'mixed' as literary texts can include both prose and poetry.",2025-10-16T10:16:37.810903
69334c9c-a69f-e311-9503-005056801da1,Analyze how authors draw on or are influenced by other works,mixed,mixed,literary,reading,advanced,analysis,high,"This skill requires analyzing intertextuality and literary influence, which applies across fictional and informational texts (e.g., essays about literature). The focus on 'how authors draw on or are influenced by other works' is inherently analytical and requires comparing multiple texts, making it advanced complexity. Literary genre is most appropriate as this involves examining authorial craft and literary relationships.",2025-10-16T10:16:43.715403
05dd19c0-98e0-470e-89d8-71d7882e9a53,"Compare and contrast approaches to similar themes and topics within types of poetry (e.g., how haiku often make observations about nature)",fictional,poetry,literary,reading,advanced,analysis,high,"Skill explicitly focuses on comparing and contrasting poetry types (e.g., haiku), requiring analysis of themes and approaches across multiple poetic texts. This is advanced reading comprehension work involving literary analysis.",2025-10-16T10:16:49.101510
42be794f-9153-40b4-a304-a9dc6d5e2773,"Analyze nonfiction works of historical or literary significance (e.g., speeches from public figures, political documents) including how related themes and concepts are treated",informational,prose,argumentative,reading,advanced,analysis,high,"Focuses on analyzing nonfiction works (speeches, political documents) with historical/literary significance. The skill explicitly requires analysis of themes and concepts, placing it at the analysis level of Bloom's taxonomy. Argumentative genre is most appropriate as speeches and political documents typically present arguments and persuasive content.",2025-10-16T10:16:53.443820
0dbeef7a-c2da-421c-ac0d-691976ffe759,"Compare and contrast similar themes, topics, and patterns in poetry (e.g., poems about friendship from different cultures)",mixed,poetry,literary,reading,intermediate,analysis,high,"Skill explicitly focuses on poetry analysis across cultures. Comparing and contrasting themes requires analytical thinking. Text_type is 'mixed' because poems can be fictional or informational depending on content, though literary poetry often blends both.",2025-10-16T10:16:57.470704
81f3f950-e21c-4930-9357-2e12a687cd94,"Synthesize information from texts on topics related to diverse cultures and viewpoints, recognizing how the viewpoints of particular cultures contribute to understanding of the topic",informational,prose,expository,reading,advanced,synthesis,high,Skill explicitly requires synthesizing information from multiple texts about diverse cultures and viewpoints. The focus on cultural perspectives and understanding topics through multiple viewpoints indicates informational/expository texts. Synthesis is the primary cognitive demand as students must combine information from multiple sources and recognize how different cultural viewpoints contribute to understanding.,2025-10-16T10:17:02.529341
