CHAIN_ID,CONCEPT_NAME,CHAIN_LENGTH,GRADE_RANGE,AUTHORITY,EXAMPLE_SKILL_ID,EXAMPLE_SKILL_NAME
SB-0036,read informational texts within the atos range of 1.6 to 3.3,23,1-12,Unknown,2112f61e-e69f-e311-9503-005056801da1,Read informational texts within the ATOS range of 1.6 to 3.3
SB-0176,"compose an informative text appropriate to task, audience, and purpose in response to a prompt based",15,1-8,Pennsylvania Core Standards for English Language Arts,c8bd323b-bc82-4627-8686-1b89d537e76f,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on first-grade reading"
SB-0187,introduce events in first-grade narrative writing,13,1-8,Pennsylvania Core Standards for English Language Arts,f72459b6-0171-421e-8965-4e69d802a7a6,Introduce events in first-grade narrative writing
SB-0159,support an opinion with a concluding statement in first-grade argumentative writing,12,1-8,Pennsylvania Core Standards for English Language Arts,c2c2e870-a0a4-4c0f-9c5d-d7f07c57b81d,Support an opinion with a concluding statement in first-grade argumentative writing
SB-0191,use dialogue to develop experiences and show character responses in third-grade narrative writing,11,3-8,Pennsylvania Core Standards for English Language Arts,f885ab4a-5f74-4d5b-8f91-b2ecfd898313,Use dialogue to develop experiences and show character responses in third-grade narrative writing
SB-0040,"read regularly and independently in second-appropriate texts for sustained periods of time, increasi",11,2-12,Unknown,e08e5fa0-530f-41c1-b7ee-4063873ae571,"Read regularly and independently in second-grade-appropriate texts for sustained periods of time, increasing speed, stamina, and comprehension"
SB-0190,use sensory details to convey experiences and events in fourth-grade narrative writing,9,4-8,Pennsylvania Core Standards for English Language Arts,4f8ad72a-2b93-4726-8cd8-9872b84f4428,Use sensory details to convey experiences and events in fourth-grade narrative writing
SB-0044,use evidence from a literary or informational text in writing to support analysis and reflection in ,9,4-12,Unknown,d508bf13-b703-41cc-887a-ba622fd910e6,Use evidence from a literary or informational text in writing to support analysis and reflection in response to 4th-grade reading
SB-0164,support a topic with a concluding statement in first-grade informative writing,7,1-8,Pennsylvania Core Standards for English Language Arts,afd9508f-1b58-4135-813d-ffa3c554c16a,Support a topic with a concluding statement in first-grade informative writing
SB-0162,compose an argumentative text in response to a prompt based on second-grade reading using characteri,7,2-8,Pennsylvania Core Standards for English Language Arts,70ab7b11-1119-4b39-9326-21bd8a961245,Compose an argumentative text in response to a prompt based on second-grade reading using characteristics of genre and craft
SB-0186,use transitions to signal time shifts in sixth-grade narrative writing,7,6-8,Pennsylvania Core Standards for English Language Arts,d22105d8-7771-403b-b75b-f948862228c9,Use transitions to signal time shifts in sixth-grade narrative writing
SB-0062,determine or clarify the meaning of homographs in a second-grade text,7,2-5,Unknown,0bd15b5e-478a-4e0a-a7db-418dd58617ac,Determine or clarify the meaning of homographs in a second-grade text
SB-0090,"spell multisyllabic words with vce syllable patterns (e.g., became)",7,2-5,Unknown,70e54663-32e8-422f-a8a1-af220f67564b,"Spell multisyllabic words with VCe syllable patterns (e.g., became)"
SB-0203,revise third-grade writing to achieve an intended effect,6,3-8,Pennsylvania Core Standards for English Language Arts,a77c38e6-256c-4939-a6b1-311122b020f2,Revise third-grade writing to achieve an intended effect
SB-0188,establish a setting and situation in third-grade narrative writing,6,3-8,Pennsylvania Core Standards for English Language Arts,a58d8eec-544b-44dd-bfed-2ec194ca85f8,Establish a setting and situation in third-grade narrative writing
SB-0201,strengthen third-grade writing by revising direct quotations,6,3-8,Pennsylvania Core Standards for English Language Arts,add24371-4acf-40a3-b751-e9dd1674c1ab,Strengthen third-grade writing by revising direct quotations
SB-0074,read on-level texts aloud at the estimated oral reading fluency (orf) to meet first-grade benchmarks,5,1-5,Unknown,f90ff61e-e69f-e311-9503-005056801da1,Read on-level texts aloud at the estimated oral reading fluency (ORF) to meet first-grade benchmarks
SB-0071,"correctly form printed letters developing appropriate letter, word, and sentence spacing",5,1-5,Unknown,5cc49789-7b9d-41c3-9a3a-87b5fb83d938,"Correctly form printed letters developing appropriate letter, word, and sentence spacing"
SB-0088,demonstrate and apply spelling knowledge by spelling common letter/sound correlations,5,K-2,Unknown,b0a9e359-77ab-49f5-aaa1-023d2ad5d2db,Demonstrate and apply spelling knowledge by spelling common letter/sound correlations
SB-0156,"develop a topic by including related facts, concrete details, quotations, examples, and other inform",5,4-8,Pennsylvania Core Standards for English Language Arts,3dfe2dda-e2f2-41d6-abef-6d5838466682,"Develop a topic by including related facts, concrete details, quotations, examples, and other information in fourth-grade informative writing"
SB-0012,compose an argumentative text in response to a prompt based on first-grade reading using characteris,5,1-12,Unknown,b41d6e61-9794-4ecd-9bfc-0464a35473db,Compose an argumentative text in response to a prompt based on first-grade reading using characteristics of genre and craft
SB-0192,use transitional words and phrases to sequence events in fourth-grade narrative writing,5,4-8,Pennsylvania Core Standards for English Language Arts,325d3c32-7dac-47a4-b7fe-9dc00d8aa3e2,Use transitional words and phrases to sequence events in fourth-grade narrative writing
SB-0047,cite the strongest textual evidence to support analysis of an informational text,5,8-10,Unknown,4c11f61e-e69f-e311-9503-005056801da1,Cite the strongest textual evidence to support analysis of an informational text
SB-0193,provide a sense of closure in second-grade narrative writing,4,2-7,Pennsylvania Core Standards for English Language Arts,92d7d03c-e87d-40ce-b421-6ef7ebb2f035,Provide a sense of closure in second-grade narrative writing
SB-0183,support a topic with a concluding statement in second-grade informative writing,4,2-8,Pennsylvania Core Standards for English Language Arts,1683e172-8801-42c2-99c7-1a222a7a642e,Support a topic with a concluding statement in second-grade informative writing
SB-0045,cite textual evidence to support analysis of an informational text,4,6-8,Unknown,4211f61e-e69f-e311-9503-005056801da1,Cite textual evidence to support analysis of an informational text
SB-0049,"ask literal, interpretive, and, with support, evaluative questions of text",4,3-6,Unknown,9e2870c3-da67-4882-a384-106563137fea,"Ask literal, interpretive, and, with support, evaluative questions of text"
SB-0050,"compose an informative text appropriate to task, audience, and purpose in response to a prompt based",4,9-12,Unknown,31808ea3-0122-47c3-a194-636ef3be905c,"Compose an informative text appropriate to task, audience, and purpose in response to a prompt based on ninth-grade reading"
SB-0200,revise fifth-grade writing to maintain consistency in style and tone,4,5-8,Pennsylvania Core Standards for English Language Arts,b62d60d6-3590-47d0-aff6-ca1672f54d2f,Revise fifth-grade writing to maintain consistency in style and tone
SB-0064,use homophones accurately based on second-grade reading and content,4,2-5,Unknown,ac897f55-d5e0-43f3-b26d-6204a84296bf,Use homophones accurately based on second-grade reading and content
SB-0096,demonstrate and apply spelling knowledge by spelling multisyllabic words,4,2-5,Unknown,e980279d-8393-4ff5-8b72-31d856b1441b,Demonstrate and apply spelling knowledge by spelling multisyllabic words
SB-0219,"revise second-grade writing for errors of punctuation, spelling, capitalization, or grammar",4,2-8,Hawai'i Common Core Standards for English Language Arts,48c6bcbc-65a3-4897-a7b6-1de21c2c2490,"Revise second-grade writing for errors of punctuation, spelling, capitalization, or grammar"
SB-0163,group related ideas persuasively in fourth-grade argumentative writing,4,4-6,Pennsylvania Core Standards for English Language Arts,849bf28a-b790-4db3-9d95-7a6d0f9bc326,Group related ideas persuasively in fourth-grade argumentative writing
SB-0208,analyze how texts from various academic disciplines organize information and treat domain-specific v,4,9-12,Hawai'i Common Core Standards for English Language Arts,f02050f5-6f44-4fdb-bcea-7f699718abf5,Analyze how texts from various academic disciplines organize information and treat domain-specific vocabulary
SB-0212,engage in whole- and small-group guided reading of second-appropriate texts to practice reading stra,4,2-5,Hawai'i Common Core Standards for English Language Arts,dfc50ee3-a6af-4eb7-b231-1577c05efedd,Engage in whole- and small-group guided reading of second-grade-appropriate texts to practice reading strategies
SB-0092,"spell multisyllabic words with final stable syllables (e.g., candle)",4,3-5,Unknown,e0324832-fe9f-4613-8adb-cea263666c28,"Spell multisyllabic words with final stable syllables (e.g., candle)"
