SKILL_ID,SKILL_NAME,GRADE_LEVEL_NAME,GRADE_LEVEL_SHORT_NAME,SKILL_AREA_NAME,CONTENT_AREA_NAME,AUTHORITY,EQUIVALENCE_TYPE,EQUIVALENCE_GROUP_ID,COMPLEXITY_LEVEL,PREREQUISITE_SKILL_ID,IS_SPIRAL_SKILL
2e1c483a-f6b6-46fa-8e57-e6f8226ab4c4,"With support, identify some of the sounds of letters",Pre-K,PK,Alphabetic Knowledge,English Language Arts,Unknown,unique,,0,,False
e3c494a0-1f1f-40f9-b8f0-da84e8da8898,Identify some letters in printed words,Pre-K,PK,Alphabetic Knowledge,English Language Arts,Unknown,unique,,0,,False
a30ff61e-e69f-e311-9503-005056801da1,Recognize the sounds of letters in lower- and uppercase form,Kindergarten,K,Alphabetic Knowledge,English Language Arts,Unknown,unique,,1,,False
c795f9d2-a849-4531-ab5b-bd558bb125de,"Know the order of the alphabet (e.g., identify letters that come before or after another letter)",Kindergarten,K,Alphabetic Knowledge,English Language Arts,Unknown,unique,,1,,False
23263971-e482-43ba-8882-fa8db08a07c0,"Write the letters of the alphabet including most upper- and lowercase letters (e.g., write first and last name)",Kindergarten,K,Alphabetic Knowledge,English Language Arts,Unknown,unique,,1,,False
9e0ff61e-e69f-e311-9503-005056801da1,"Distinguish between the shapes of upper- and lowercase letters (e.g., pick the letter that is different in <i>S</i>, <i>S</i>, <i>C</i>; pick the letter that is different in <i>E</i>, <i>f</i>, <i>f</i>)",Kindergarten,K,Alphabetic Knowledge,English Language Arts,Unknown,grade-progression,SB-0001,1,5b314c9c-a69f-e311-9503-005056801da1,True
0c0ed03d-350f-4466-a034-74dc40a78e16,Identify and match sounds to individual letters,Grade 1,1,Alphabetic Knowledge,English Language Arts,Illinois Learning Standards for Spanish Language Arts,unique,,2,,False
6641afac-babe-4fbc-8c59-f634102ce3de,Recognize all of the letters of the alphabet in order,Pre-K,PK,Alphabetic Knowledge,English Language Arts,Illinois Learning Standards for Spanish Language Arts,unique,,0,,False
9b0ff61e-e69f-e311-9503-005056801da1,"Distinguish letters from numbers (e.g., select <i>J</i> from choices <i>J</i>, <i>8</i>, <i>7</i>)",Pre-K,PK,Alphabetic Knowledge,English Language Arts,Unknown,unique,,0,,False
e4e73b78-9bce-4c17-ba54-88bf3fcc822a,Write all uppercase letters of the English alphabet,Kindergarten,K,Alphabetic Knowledge,English Language Arts,Unknown,unique,,1,,False
fdf1dd11-fd25-493b-bc82-45a51bad82e8,Write all lowercase letters of the English alphabet,Kindergarten,K,Alphabetic Knowledge,English Language Arts,Unknown,unique,,1,,False
a40ff61e-e69f-e311-9503-005056801da1,"Know the order of the alphabet (e.g., identify letters that come before or after another letter; sing the alphabet song)",Kindergarten,K,Alphabetic Knowledge,English Language Arts,Unknown,unique,,1,,False
0b5e137e-bc6e-48a0-8c23-662a412103f2,Name some of the letters of the alphabet and recognize their lower- and uppercase forms,Pre-K,PK,Alphabetic Knowledge,English Language Arts,Unknown,unique,,0,,False
37ad4a3c-4dfc-4934-9b72-a389f0afb69c,Recognize all the letters of the alphabet in random order,Pre-K,PK,Alphabetic Knowledge,English Language Arts,Illinois Learning Standards for Spanish Language Arts,unique,,0,,False
