STANDARD_SET_ID_VERSION,STANDARD_SET_ID,STANDARD_SET_NAME,STANDARD_SET_SHORT_NAME,STANDARD_SET_DESCRIPTION,STANDARD_SET_AUTHORITY_NAME,STANDARD_SET_INTERNAL_NAME,STANDARD_SET_VERSION_MAJOR,STANDARD_SET_VERSION_MINOR,CONTENT_AREA_NAME,CONTENT_AREA_SHORT_NAME,EDUCATION_AUTHORITY,REGION,COUNTRY,IS_CCSS_RELATED,CCSS_STANDARD_SET_ID_VERSION,IS_LATEST,IS_LATEST_GENERAL_AVAILABILITY,STANDARD_SET_STATUS,STANDARD_SET_STATUS_CODE,STANDARD_SET_STATUS_ID,CCSS_ADOPTER_STATUS,IS_LATEST_INTERNAL,IS_LATEST_DEVELOPMENT,IS_MOCK,ZONE,CDW_SOURCE
0d2f164c-1967-5f11-9c31-d148163c4198-1-0,0d2f164c-1967-5f11-9c31-d148163c4198,CPM for AB,CPM for AB,CPM for AB,,MaCKS for AB,1,0,Mathematics,Math,AB,AB,CA,false,,false,false,Deprecated,DEP,6,Non-Adopter,false,false,false,zone51,cdw_prod
0d2f164c-1967-5f11-9c31-d148163c4198-1-1,0d2f164c-1967-5f11-9c31-d148163c4198,CPM for AB,CPM for AB,CPM for AB,,MaCKS for AB,1,1,Mathematics,Math,AB,AB,CA,false,,false,false,Historical Use,HU,5,Non-Adopter,false,false,false,zone51,cdw_prod
0d2f164c-1967-5f11-9c31-d148163c4198-1-2,0d2f164c-1967-5f11-9c31-d148163c4198,CPM for AB,CPM for AB,CPM for AB,,MaCKS for AB,1,2,Mathematics,Math,AB,AB,CA,false,,false,false,Historical Use,HU,5,Non-Adopter,false,false,false,zone51,cdw_prod
0d2f164c-1967-5f11-9c31-d148163c4198-1-3,0d2f164c-1967-5f11-9c31-d148163c4198,CPM for AB,CPM for AB,CPM for AB,Alberta Curriculum and Programs of Study for Mathematics,MaCKS for AB,1,3,Mathematics,Math,AB,AB,CA,false,,true,true,General Availability,GA,1,Non-Adopter,true,false,false,zone51,cdw_prod
678ee620-6d61-54c9-b281-cc2e45369051-1-0,678ee620-6d61-54c9-b281-cc2e45369051,CPR for AB,CPR for AB,CPR for AB,,ELACKS for AB,1,0,English Language Arts,ELA,AB,AB,CA,false,,false,false,Deprecated,DEP,6,Non-Adopter,false,false,false,zone51,cdw_prod
678ee620-6d61-54c9-b281-cc2e45369051-1-1,678ee620-6d61-54c9-b281-cc2e45369051,CPR for AB,CPR for AB,CPR for AB,,ELACKS for AB,1,1,English Language Arts,ELA,AB,AB,CA,false,,false,false,Historical Use,HU,5,Non-Adopter,false,false,false,zone51,cdw_prod
678ee620-6d61-54c9-b281-cc2e45369051-1-2,678ee620-6d61-54c9-b281-cc2e45369051,CPR for AB,CPR for AB,CPR for AB,Alberta Curriculum and Programs of Study for English Language Arts,ELACKS for AB,1,2,English Language Arts,ELA,AB,AB,CA,false,,false,true,General Availability,GA,1,Non-Adopter,true,false,false,zone51,cdw_prod
678ee620-6d61-54c9-b281-cc2e45369051-1-3,678ee620-6d61-54c9-b281-cc2e45369051,CPR for AB,CPR for AB,CPR for AB,,ELACKS for AB,1,3,English Language Arts,ELA,AB,AB,CA,false,,true,false,Deprecated,DEP,6,Non-Adopter,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-0,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,,ELACKS for AK,1,0,English Language Arts,ELA,AK,AK,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-1,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,,ELACKS for AK,1,1,English Language Arts,ELA,AK,AK,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-2,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,,ELACKS for AK,1,2,English Language Arts,ELA,AK,AK,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-3,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,,ELACKS for AK,1,3,English Language Arts,ELA,AK,AK,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-4,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,,ELACKS for AK,1,4,English Language Arts,ELA,AK,AK,US,false,,false,false,Deprecated,DEP,6,Unknown,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-5,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,,ELACKS for AK,1,5,English Language Arts,ELA,AK,AK,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-6,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,,ELACKS for AK,1,6,English Language Arts,ELA,AK,AK,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
7fb94388-e8a9-5057-ac0c-e5be75fa9007-1-7,7fb94388-e8a9-5057-ac0c-e5be75fa9007,Alaska State Standards,AK Standards,Alaska State Standards,Alaska English/Language Arts Standards,ELACKS for AK,1,7,English Language Arts,ELA,AK,AK,US,false,,true,true,General Availability,GA,1,Non-Adopter,true,false,false,zone51,cdw_prod
