STANDARD_SET_ID_VERSION,DOMAIN_GROUP_ID_VERSION,DOMAIN_GROUP_ID,DOMAIN_GROUP_NAME,DOMAIN_GROUP_STATUS,DOMAIN_GROUP_NOTES,DOMAIN_GROUP_CREATION_RATIONALE,LAST_CHANGE_TYPE,LAST_CHANGE_BATCH
5f51a486-a436-5d85-9fb8-fb83296ab807-1-9,b10eaa42-bc81-55e0-9ab4-4f6623df85c7-1-9,b10eaa42-bc81-55e0-9ab4-4f6623df85c7,Foundational Skills,Released,,,initial,STANDARDBASE_20240701
be90594b-c6e8-593d-bf51-0d485a799372-2-2,b17e2329-4402-5dfc-9e91-b412611e1224-2-2,b17e2329-4402-5dfc-9e91-b412611e1224,Foundational Skills,Released,,,initial,STANDARDBASE_20240701
be90594b-c6e8-593d-bf51-0d485a799372-2-3,b17e2329-4402-5dfc-9e91-b412611e1224-2-3,b17e2329-4402-5dfc-9e91-b412611e1224,Foundational Skills,Released,,,initial,STANDARDBASE_20240701
1b4f3cb2-10f6-52a2-8a40-85d7cd55a378-2-8,b92287b0-e53f-5d03-8f51-7d54515eabac-2-8,b92287b0-e53f-5d03-8f51-7d54515eabac,Functions,Released,,,initial,STANDARDBASE_20240701
470c0d91-3e01-5c33-b4d4-8bd3e47a2b01-1-1,b3585f62-9d7f-59fe-b3b1-f3bc77c067b9-1-1,b3585f62-9d7f-59fe-b3b1-f3bc77c067b9,Geometry,Released,,,initial,STANDARDBASE_20240701
470c0d91-3e01-5c33-b4d4-8bd3e47a2b01-1-7,b3585f62-9d7f-59fe-b3b1-f3bc77c067b9-1-7,b3585f62-9d7f-59fe-b3b1-f3bc77c067b9,Geometry,Released,,,initial,STANDARDBASE_20240701
bdb0a916-de8d-55e8-93c9-c0df18a8b8c6-1-4,b28801ad-1a1e-5842-9380-40c4b74ebeac-1-4,b28801ad-1a1e-5842-9380-40c4b74ebeac,Geometry,Released,,,initial,STANDARDBASE_20240701
fee6eb3a-20f4-5cc1-8da6-0072c593c80e-2-4,b6b7f8ee-9213-5ef6-a419-2ba3c3fe928a-2-4,b6b7f8ee-9213-5ef6-a419-2ba3c3fe928a,Reading: Informational,Released,,,initial,STANDARDBASE_20240701
86751f7e-7e2b-5d99-83f7-57637336faa4-3-9,b82d2a3a-ce38-528a-b981-fc81e71026b2-3-9,b82d2a3a-ce38-528a-b981-fc81e71026b2,Personal Financial Literacy,Released,,,initial,STANDARDBASE_20240701
cf420666-afdc-5b9d-adb9-709e772e0347-2-2,b499e0b1-01ae-5c5b-807b-d0fb2df7a204-2-2,b499e0b1-01ae-5c5b-807b-d0fb2df7a204,Statistics and Probability,Released,,,initial,STANDARDBASE_20240701
