STANDARD_SET_ID_VERSION,STANDARD_SET_ID,STANDARD_SET_NAME,STANDARD_SET_DESCRIPTION,STANDARD_SET_VERSION_MAJOR,STANDARD_SET_VERSION_MINOR,CONTENT_AREA_NAME,CONTENT_AREA_SHORT_NAME,EDUCATION_AUTHORITY,REGION,COUNTRY,IS_CCSS_RELATED,CCSS_STANDARD_SET_ID_VERSION,IS_LATEST,IS_LATEST_GENERAL_AVAILABILITY,STANDARD_SET_STATUS,STANDARD_SET_STATUS_CODE,STANDARD_SET_STATUS_ID,CCSS_ADOPTER_STATUS,IS_LATEST_INTERNAL,IS_LATEST_DEVELOPMENT,IS_MOCK,ZONE,CDW_SOURCE
44db15a4-8484-5dd2-94b8-3c4f56cda91b-1-3,44db15a4-8484-5dd2-94b8-3c4f56cda91b,CPR for CO,Core Progress Reading built for CO,1,3,English Language Arts,ELA,CO,CO,US,false,,false,false,Deprecated,DEP,6,Unknown,false,false,false,zone51,cdw_prod
86751f7e-7e2b-5d99-83f7-57637336faa4-3-6,86751f7e-7e2b-5d99-83f7-57637336faa4,CPM for TX,Core Progress Math built for TX,3,6,Mathematics,Math,TX,TX,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
d2b4dd73-4259-588a-b2e6-12ee0f1b8f56-2-0,d2b4dd73-4259-588a-b2e6-12ee0f1b8f56,CPM for MA,Core Progress Math built for MA,2,0,Mathematics,Math,MA,MA,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
e4c10890-bb4d-5352-b0d2-2ca2670be4af-1-2,e4c10890-bb4d-5352-b0d2-2ca2670be4af,CPM for TN,Tennessee's State Standards,1,2,Mathematics,Math,TN,TN,US,true,41400ac3-e7b5-544d-83b1-b2ffdcc05c50-1-2,false,false,Historical Use,HU,5,Adopter,false,false,false,zone51,cdw_prod
cd0ecca9-5f5b-5894-90eb-423efb845bf4-2-2,cd0ecca9-5f5b-5894-90eb-423efb845bf4,CPR for NV,Nevada Academic Content Standards,2,2,English Language Arts,ELA,NV,NV,US,true,e71c677a-5952-5ad4-9f86-b64ae4a12a00-2-2,false,false,Historical Use,HU,5,Adopter,false,false,false,zone51,cdw_prod
5f51a486-a436-5d85-9fb8-fb83296ab807-1-1,5f51a486-a436-5d85-9fb8-fb83296ab807,CPR for IA,Core Progress Reading built for IA,1,1,English Language Arts,ELA,IA,IA,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
1b4f3cb2-10f6-52a2-8a40-85d7cd55a378-1-0,1b4f3cb2-10f6-52a2-8a40-85d7cd55a378,CPM for OK,Core Progress Math built for OK,1,0,Mathematics,Math,OK,OK,US,false,,false,false,Historical Use,HU,5,Unknown,false,false,false,zone51,cdw_prod
f4a72107-96fc-561f-a28b-b6d0afc22f1b-2-2,f4a72107-96fc-561f-a28b-b6d0afc22f1b,CPM,Core Progress Math,2,2,Mathematics,Math,REN,REN,US,false,,false,false,Historical Use,HU,5,N/A,false,false,false,zone51,cdw_prod
f5c0d4a5-361e-5790-b501-48624db00a86-2-6,f5c0d4a5-361e-5790-b501-48624db00a86,CPR for NH,New Hampshire College and Career Ready Standards,2,6,English Language Arts,ELA,NH,NH,US,true,e71c677a-5952-5ad4-9f86-b64ae4a12a00-2-10,false,false,Historical Use,HU,5,Adopter,false,false,false,zone51,cdw_prod
e71c677a-5952-5ad4-9f86-b64ae4a12a00-2-0,e71c677a-5952-5ad4-9f86-b64ae4a12a00,CPR for CCSS,Core Progress Reading built for the CCSS,2,0,English Language Arts,ELA,CCSS,CC,US,true,e71c677a-5952-5ad4-9f86-b64ae4a12a00-2-0,false,false,Historical Use,HU,5,Adopter,false,false,false,zone51,cdw_prod
