STANDARD_ID_VERSION,STANDARD_ID,STANDARD_CODE_FQ,STANDARD_CODE,STANDARD_DESCRIPTION,STANDARD_TYPE,STANDARD_HIERARCHY_LEVEL,STANDARD_STATUS,GRADE_RANGE,STANDARD_SET_ID_VERSION,STANDARD_SET_NAME,CONTENT_AREA_SHORT_NAME,CONTENT_AREA_NAME,STANDARD_SET_IS_LATEST,STANDARD_SET_IS_LATEST_GENERAL_AVAILABILITY,STANDARD_SET_IS_LATEST_DEVELOPMENT,STANDARD_SET_IS_LATEST_INTERNAL,STANDARD_SET_STATUS,STANDARD_SET_STATUS_CODE,EDUCATION_AUTHORITY,REGION,COUNTRY,IS_CCSS_RELATED,SECTION_SHORT_NAME,SECTION_NAME,SECTION_DISPLAY_ORDER,SECTION_ID,DEFAULT_STAR_DIFFICULTY_LEVEL_SET,DOMAIN_GROUP_NAME,DOMAIN_GROUP_ID,DOMAIN_NAME,DOMAIN_ID,DOMAIN_ID_VERSION,DOMAIN_DISPLAY_ORDER,AB_STANDARD_GUID,AB_DOCUMENT_GUID,ORIGIN_AB_STANDARD_GUID,ORIGIN_ROCK_STANDARD_ID_VERSION,LP_STANDARD_NAME,INCLUDED_BY_SECTION,RULE_STANDARD_STATUS_DEFAULT,RULE_STANDARD_STATUS_RECOMMENDATION,ROCK_SOURCE,DEV_NOTES,IS_MOCK,CDW_SOURCE
3856f62b-e737-5419-8989-b06fdd6d9f3c-2-4,3856f62b-e737-5419-8989-b06fdd6d9f3c,LA.5.CCSS.ELA-Literacy.L.5.4a,CCSS.ELA-Literacy.L.5.4a,"Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase.",sub-objective,4,Obsolete,5,d9bec0e0-11df-58c4-9767-506affc637a5-2-4,CPR for DC,ELA,English Language Arts,false,false,false,false,Historical Use,HU,DC,DC,US,true,,Grade 5,920,b45fb66f-7d6a-5efc-8756-075c2f0a3623,75,Language,8c19010d-bf9f-516e-8e52-65214111f0f3,Vocabulary Acquisition and Use,5cd9fcc2-9620-50fb-a2ef-96d67d30a3bd,5cd9fcc2-9620-50fb-a2ef-96d67d30a3bd-2-4,13,3f4edbaa-da78-11e2-a988-824a9dff4b22,967fc1ce-daa4-11e2-88f2-3595d8fdf33c,7ff7be8e-7440-11df-93fa-01fd9cff4b22,77c180a1-d612-5870-9828-c7d16a14ddad-2-11,CCSS.ELA-Literacy.L.5.4a,,,,base,standards sourced from STAR LP,false,cdw_prod
ff511c37-2fdf-5b54-89c7-2f586a88dc0c-3-3,ff511c37-2fdf-5b54-89c7-2f586a88dc0c,OH.ELA-Literacy.RI.4.5,RI.4.5,"Describe the overall structure (e.g., chronology, comparison, cause/effect, problem/solution) of events, ideas, concepts, or information in a text or part of a text.",objective,4,Obsolete,4,541d8bff-08c2-5758-9bc5-ecb3db038f73-3-3,CPR for OH,ELA,English Language Arts,false,false,false,false,Historical Use,HU,OH,OH,US,false,,Grade 4,810,df4e1f45-91f7-553e-82b0-fa84c6073ebc,75,Informational Text,2e60f54f-8b10-54fb-9ab5-6d5f2ed01d52,Craft and Structure,06711ea7-ee78-5b33-aa7b-e093968f5d64,06711ea7-ee78-5b33-aa7b-e093968f5d64-3-3,11,49a58cbb-c387-4d4f-b291-0a1ea74d613b,644b5dde-f85b-11e6-84fd-74cfccc8ca83,,,OH.ELA-Literacy.RI.4.5,,,,base,standards sourced from STAR LP,false,cdw_prod
d65b97de-8900-5f45-b3fb-2777f850b02e-2-0,d65b97de-8900-5f45-b3fb-2777f850b02e,KY.ELA.CCSS.ELA-Literacy.RL.4.1,CCSS.ELA-Literacy.RL.4.1,Refer to details and examples in a text when explaining what the text says explicitly and when drawing inferences from the text.,objective,4,Obsolete,4,5a79aa30-bbb4-5551-9206-88d9cb62d575-2-0,CPR for KY,ELA,English Language Arts,false,false,false,false,Historical Use,HU,KY,KY,US,true,,Grade 4,6,8445bbbc-352c-5487-b704-0ca62f582b1d,75,Literature,a35b45e0-4d2f-5e6c-9f34-79743751b7df,Key Ideas and Details,6e13e8cc-2a19-571b-b4fb-6b41b943300f,6e13e8cc-2a19-571b-b4fb-6b41b943300f-2-0,5,,,7f20e33c-7440-11df-93fa-01fd9cff4b22,2b46af96-81b7-50ef-9488-011496d2bd28-2-11,CCSS.ELA-Literacy.RL.4.1,,,,base,standards sourced from STAR LP,false,cdw_prod
ba935ea9-ee03-53e7-a354-e3fc8eada1d5-2-3,ba935ea9-ee03-53e7-a354-e3fc8eada1d5,CCSS.ELA-Literacy.RF.K.3.c,RF.K.3.c,"Read common high-frequency words by sight (e.g., the, of, to, you, she, my, is, are, do, does).",sub-objective,5,Obsolete,K,76d74d32-d72f-5700-8707-c4f297548f61-2-3,CPR for RI,ELA,English Language Arts,false,false,false,false,Historical Use,HU,RI,RI,US,true,,Kindergarten,2,f0f202d3-374d-5f9f-bcd2-69cd5c2e717c,75,Foundational Skills,cea2d4a0-157a-51f7-9ebd-ce7b2913c21a,Phonics and Word Recognition,2b8b0e7e-d0b4-503e-a532-9ae1d4858363,2b8b0e7e-d0b4-503e-a532-9ae1d4858363-2-3,3,,,5c6fd812-7377-11df-a1e8-223d9dff4b22,ef23d723-37f0-52c4-b44a-f9598edf6677-2-11,CCSS.ELA-Literacy.RF.K.3c,,,,base,standards sourced from STAR LP,false,cdw_prod
396dae09-351e-5910-a821-1f7b0eaf3ebb-1-8,396dae09-351e-5910-a821-1f7b0eaf3ebb,SCCCR.ELA.6.RL.MC.5.1 from LP,SCCCR.ELA.6.RL.MC.5.1 from LP,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.,,,Obsolete,,30ea2be7-9f16-5838-9ac5-e60e0c12e97b-1-8,CPR for SC,ELA,English Language Arts,false,false,false,false,Historical Use,HU,SC,SC,US,false,,Unknown,99999,1147ba4a-ab4d-5f1a-b585-7be1cb80df0b,75,Reading Literary Text,fd0ea5fe-fd4f-532a-b990-5e4af5eb38b0,Meaning and Context,62a43176-0d51-5f1d-9b73-836d59b4b99b,62a43176-0d51-5f1d-9b73-836d59b4b99b-1-8,2,,,,,SCCCR.ELA.6.RL.MC.5.1,,,,base,standards sourced from STAR LP,false,cdw_prod
ea3d0a66-3fd6-5c4a-8afd-4de7c01ee2eb-3-0,ea3d0a66-3fd6-5c4a-8afd-4de7c01ee2eb,Utah.ELA-Literacy.L.11-12.5.a from LP,Utah.ELA-Literacy.L.11-12.5.a from LP,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",,,Obsolete,,ae426ac1-514d-532e-8750-095e29d3058c-3-0,CPR for UT,ELA,English Language Arts,false,false,false,false,Historical Use,HU,UT,UT,US,false,,Unknown,99999,1147ba4a-ab4d-5f1a-b585-7be1cb80df0b,75,Language,80b9bc60-e471-572f-898f-5e512333fd08,Vocabulary Acquisition and Use,d340ffb6-09cc-55e5-ad0b-354177e4f032,d340ffb6-09cc-55e5-ad0b-354177e4f032-3-0,3,,,,,Utah.ELA-Literacy.L.11-12.5.a,,,,base,standards sourced from STAR LP,false,cdw_prod
d97ed5e9-ac31-5a6c-af4d-6a38c6eb168b-1-7,d97ed5e9-ac31-5a6c-af4d-6a38c6eb168b,SCCCR.ELA.6.RL.MC.6 from LP,SCCCR.ELA.6.RL.MC.6 from LP,Summarize key details and ideas to support analysis of thematic development.,,,Obsolete,,30ea2be7-9f16-5838-9ac5-e60e0c12e97b-1-7,CPR for SC,ELA,English Language Arts,false,false,false,false,Historical Use,HU,SC,SC,US,false,,Unknown,99999,1147ba4a-ab4d-5f1a-b585-7be1cb80df0b,75,Reading Literary Text,fd0ea5fe-fd4f-532a-b990-5e4af5eb38b0,Meaning and Context,62a43176-0d51-5f1d-9b73-836d59b4b99b,62a43176-0d51-5f1d-9b73-836d59b4b99b-1-7,2,,,,,SCCCR.ELA.6.RL.MC.6,,,,base,standards sourced from STAR LP,false,cdw_prod
fbe10677-632b-59d8-a2c7-97430f07d4a5-1-3,fbe10677-632b-59d8-a2c7-97430f07d4a5,LA.10-12.2.1.3.d,2.1.3.d,classify the genre/form of new texts according to attributes of genres/forms previously studied,objective,5,Deprecated,10-12,678ee620-6d61-54c9-b281-cc2e45369051-1-3,CPR for AB,ELA,English Language Arts,true,false,false,false,Deprecated,DEP,AB,AB,CA,false,,Grades: 10-12,422,5ab0a498-6266-5d64-9a0d-1b569f598f30,75,General Outcome 2,0f0dc784-f491-57a7-9d4d-9bc16014fa86,Construct meaning from text and context,008497c4-e112-5a6d-a28d-bd3b02ac1f23,008497c4-e112-5a6d-a28d-bd3b02ac1f23-1-3,9,4376b73c-d5b4-11da-abaf-f681adecfd11,92cee908-c858-11da-abaf-f681adecfd11,,,AB.ELA.20-1.2.1.3.d,,,,base,standards sourced from STAR LP,false,cdw_prod
b869a46a-e73e-589a-b808-aeaecc00b9c4-3-5,b869a46a-e73e-589a-b808-aeaecc00b9c4,AR.ELA.9-10.RI.7 from LP,AR.ELA.9-10.RI.7 from LP,"Analyze various accounts of a subject told in different mediums (e.g., a person's life story in both print and multimedia), determining which details are emphasized in each account.",,,Obsolete,,df327071-e39b-5522-8883-0fb0903afba6-3-5,CPR for AR,ELA,English Language Arts,false,false,false,false,Historical Use,HU,AR,AR,US,false,,Unknown,99999,1147ba4a-ab4d-5f1a-b585-7be1cb80df0b,75,Reading Informational Text,fd1fa972-3187-51aa-882b-decf43792620,Integration of Knowledge and Ideas,3d5af1d8-26b7-5834-a03e-f49bb7bae7bf,3d5af1d8-26b7-5834-a03e-f49bb7bae7bf-3-5,8,,,,,AR.ELA.9-10.RI.7,,,,base,standards sourced from STAR LP,false,cdw_prod
2344ee2c-1641-57c5-a6ad-c83b8fe5e2ab-2-5,2344ee2c-1641-57c5-a6ad-c83b8fe5e2ab,LA.11-12.CCSS.ELA-Literacy.RL.11-12.9,CCSS.ELA-Literacy.RL.11-12.9,"Demonstrate knowledge of eighteenth-, nineteenth- and early-twentieth-century foundational works of American literature, including how two or more texts from the same period treat similar themes or topics.",objective,4,Obsolete,11-12,02ddb845-b004-5f59-9470-a65342fee411-2-5,CPR for HI,ELA,English Language Arts,false,false,false,false,Historical Use,HU,HI,HI,US,true,,Grades 11-12 English Language Arts,12,5a6dcff5-deb6-5c92-88f7-1b474bc41125,75,Literature,f9df1620-be95-5327-9d69-0866a9af5b5e,Integration of Knowledge and Ideas,0512c7bc-09fb-5b91-b3e7-ac7d61adbeda,0512c7bc-09fb-5b91-b3e7-ac7d61adbeda-2-5,7,3da06a28-ba88-11e1-b2d2-09269dff4b22,403f7c38-ba88-11e1-b2d2-09269dff4b22,29895f32-74f7-11df-80dd-6b359dff4b22,b8bbb1d6-82ba-5eb9-b7b7-280003edb118-2-11,CCSS.ELA-Literacy.RL.11-12.9,,,,base,standards sourced from STAR LP,false,cdw_prod
